索引番号,食品名,エネルギー,たんぱく質,脂質,炭水化物,食塩相当量
1,アマランサス玄穀,343,12.7,6,64.9,0
2,あわ精白粒,346,11.2,4.4,69.7,0
3,あわあわもち,210,5.1,1.3,45.3,0
4,えんばくオートミール,350,13.7,5.7,69.1,0
5,おおむぎ七分つき押麦,343,10.9,2.1,72.1,0
6,おおむぎ押麦乾,329,6.7,1.5,78.3,0
7,おおむぎ押麦めし,118,2.2,0.5,28.5,0
8,おおむぎ米粒麦,333,7,2.1,76.2,0
9,おおむぎ大麦めん乾,343,12.9,1.7,68,2.8
10,おおむぎ大麦めんゆで,121,4.8,0.6,24.3,0.2
11,おおむぎ麦こがし,368,12.5,5,77.1,0
12,キヌア玄穀,344,13.4,3.2,69,0.1
13,きび精白粒,353,11.3,3.3,70.9,0
14,こむぎ［玄穀］国産普通,329,10.8,3.1,72.1,0
15,こむぎ［玄穀］輸入軟質,344,10.1,3.3,75.2,0
16,こむぎ［玄穀］輸入硬質,332,13,3,69.4,0
17,こむぎ［小麦粉］薄力粉1等,349,8.3,1.5,75.8,0
18,こむぎ［小麦粉］薄力粉2等,345,9.3,1.9,74.3,0
19,こむぎ［小麦粉］中力粉1等,337,9,1.6,75.1,0
20,こむぎ［小麦粉］中力粉2等,346,9.7,1.8,74,0
21,こむぎ［小麦粉］強力粉1等,337,11.8,1.5,71.7,0
22,こむぎ［小麦粉］強力粉2等,343,12.6,1.7,70.6,0
23,こむぎ［小麦粉］強力粉全粒粉,320,12.8,2.9,68.2,0
24,こむぎ［小麦粉］プレミックス粉お好み焼き用,335,10.1,1.9,73.6,3.7
25,こむぎ［小麦粉］プレミックス粉ホットケーキ用,360,7.8,4,74.4,1
26,こむぎ［小麦粉］プレミックス粉から揚げ用,311,10.2,1.2,70,9.7
27,こむぎ［小麦粉］プレミックス粉天ぷら用,337,8.8,1.3,76.1,0.5
28,こむぎ［小麦粉］プレミックス粉天ぷら用バッター,136,3.3,0.5,30.2,0.2
29,こむぎ［小麦粉］プレミックス粉天ぷら用バッター揚げ,588,4.3,47.7,37,0.2
30,こむぎ［パン類］角形食パン食パン,248,8.9,4.1,46.4,1.2
31,こむぎ［パン類］角形食パン焼き,269,9.7,4.5,50.6,1.3
